,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,행정동명,경도,위도
42605,클라이만의원,의료,병원,일반병원,역삼1동,127.0256723,37.50284482
42677,청담시카고치과,의료,병원,치과의원,논현2동,127.0405828,37.51668092
42769,텐의원,의료,병원,내과/외과,청담동,127.0404683,37.52296933
42810,경희앞산한의원,의료,병원,한의원,압구정동,127.0310125,37.52807318
42853,지리산쌍계한의원,의료,병원,한의원,개포2동,127.0614663,37.4822391
42857,신유한의원,의료,병원,한의원,청담동,127.0482939,37.51875265
43036,다모아치과의원,의료,병원,치과의원,역삼2동,127.0443401,37.49791537
43047,소망이비인후과의원,의료,병원,이비인후과의원,일원1동,127.08129,37.49033325
43089,세연내과,의료,병원,내과/외과,역삼2동,127.0396178,37.49575959
43091,이명석치과의원,의료,병원,치과의원,대치1동,127.0610261,37.49392233
43101,소아시한의원,의료,병원,한의원,도곡1동,127.0335177,37.486465
43121,라임나무치과,의료,병원,치과의원,역삼1동,127.0377338,37.50157409
43190,예그린한의원,의료,병원,한의원,역삼1동,127.0285648,37.49783175
43230,선릉탑비뇨기과,의료,병원,비뇨기과,역삼1동,127.0482841,37.5052728
43285,원데이치과의원,의료,병원,치과의원,역삼1동,127.0263318,37.50170592
43321,포이유앤미의원,의료,병원,일반병원,개포4동,127.0450957,37.47853973
43362,강남연세성형외과,의료,병원,안과의원,역삼1동,127.0280225,37.49865626
43380,김계용치과,의료,병원,치과의원,신사동,127.0244334,37.52677556
43386,로덴치과,의료,병원,치과의원,논현2동,127.0399105,37.51706291
43488,서울치과의원,의료,병원,치과의원,청담동,127.0462624,37.51838485
43577,홍성균한의원,의료,병원,한의원,논현1동,127.0243596,37.50724915
43738,청아연한의원,의료,병원,한의원,역삼1동,127.0364437,37.49899557
43836,세곡연세미치과의원,의료,병원,치과의원,세곡동,127.1012154,37.46575233
43866,위즈치과의원,의료,병원,치과의원,논현1동,127.0218695,37.51085079
43952,노블와인성형외과,의료,병원,내과/외과,신사동,127.0279247,37.52190263
44122,연세문상영의원,의료,병원,일반병원,도곡1동,127.0343467,37.48530942
44207,권중진한의원,의료,병원,한의원,대치1동,127.0573953,37.4921724
44237,여러분병원,의료,병원,신경외과,논현1동,127.0325603,37.50720848
44249,리메인의원,의료,병원,일반병원,논현1동,127.0221194,37.51683585
44303,원종민의원,의료,병원,내과/외과,일원본동,127.0866977,37.48549143
44380,박정의내과의원,의료,병원,내과/외과,논현2동,127.0412398,37.51660516
44381,박병익내과병원,의료,병원,내과/외과,삼성1동,127.0574335,37.51072546
44386,서울매스티지치과,의료,병원,치과의원,논현1동,127.0250114,37.50496586
44449,리본한의원,의료,병원,한의원,논현2동,127.0396246,37.51642083
44466,고우넷치과,의료,병원,치과의원,역삼1동,127.0251238,37.50414683
44582,큐어의원,의료,병원,일반병원,역삼1동,127.0266581,37.50096074
44597,이충원소아청소년과의원,의료,병원,내과/외과,압구정동,127.0333368,37.52856077
44661,강남제일한의원,의료,병원,한의원,대치1동,127.0613193,37.49398774
44823,바른해치과,의료,병원,치과의원,도곡2동,127.0497138,37.49420131
44833,팔색체한의원,의료,병원,한의원,삼성2동,127.0549954,37.50673233
44912,다이룸한의원,의료,병원,한의원,압구정동,127.0291405,37.52323718
44916,녹양한의원,의료,병원,한의원,삼성1동,127.0518009,37.51785277
45100,리봄내과의원,의료,병원,내과/외과,신사동,127.0229065,37.52414088
45183,소중한당신산부인과의원,의료,병원,내과/외과,대치2동,127.0597373,37.50741893
45285,연세라미슈의원,의료,병원,일반병원,도곡1동,127.0350749,37.48495494
45542,추성욱치과의원,의료,병원,치과의원,압구정동,127.0380486,37.52815773
45609,더봄한의원,의료,병원,한의원,논현1동,127.0242416,37.50588759
45652,아트인피부과의원,의료,병원,내과/외과,역삼2동,127.0443401,37.49791537
45714,신소애산부인과,의료,병원,내과/외과,역삼1동,127.027137,37.49979331
45739,안문생한의원,의료,병원,한의원,도곡1동,127.0381098,37.48636732
45762,압구정휴내과의원,의료,병원,내과/외과,압구정동,127.0402548,37.52727463
45776,라프린의원,의료,병원,일반병원,청담동,127.0495073,37.51941118
45848,갤러니치과,의료,병원,치과의원,압구정동,127.028784,37.52281075
45892,레이의원,의료,병원,일반병원,신사동,127.0273208,37.52310507
46016,엠구강악안면외과치과의원,의료,병원,치과의원,청담동,127.0494542,37.52092452
46025,닥터크리미의원,의료,병원,일반병원,신사동,127.0197774,37.5168705
46048,정우성형외과,의료,병원,내과/외과,신사동,127.0278368,37.52256869
46131,한마음가정의원,의료,병원,일반병원,수서동,127.1024712,37.48836055
46156,손지훈한의원,의료,병원,한의원,압구정동,127.0352801,37.52877489
46163,이안과,의료,병원,안과의원,신사동,127.0244334,37.52677556
46210,강남조앤조내과소아과,의료,병원,내과/외과,역삼1동,127.0270535,37.50012601
46236,바라본성형외과,의료,병원,내과/외과,논현1동,127.0238466,37.50668626
46246,요나한방병원,의료,병원,한방병원,도곡1동,127.0391376,37.48557374
46267,미주치과의원,의료,병원,치과의원,역삼1동,127.031324,37.49522333
46348,광제한의원,의료,병원,한의원,청담동,127.0487796,37.51881063
46438,청담쟈스민라인의원,의료,병원,일반병원,청담동,127.0473114,37.52485387
46473,강창순내과의원,의료,병원,내과/외과,대치1동,127.0619153,37.49425378
46477,일맥한의원,의료,병원,한의원,신사동,127.0275697,37.52572017
46507,웰에이징의원,의료,병원,일반병원,신사동,127.0278562,37.52543419
46529,성모안과,의료,병원,안과의원,도곡1동,127.0347356,37.48496118
46559,스타내과,의료,병원,내과/외과,세곡동,127.1012154,37.46575233
46596,미제림의원,의료,병원,일반병원,신사동,127.0279653,37.52661547
46745,제나한의원,의료,병원,한의원,역삼1동,127.0285648,37.49783175
46898,닥터홍치과의원,의료,병원,치과의원,청담동,127.048632,37.52242266
46929,이정균내과의원,의료,병원,내과/외과,대치1동,127.0604043,37.49841367
46949,미본한약국,의료,병원,한의원,신사동,127.0272408,37.52229346
46959,연세엘치과,의료,병원,치과의원,청담동,127.045958,37.5183013
46972,미아체한의원,의료,병원,한의원,역삼1동,127.0289704,37.49881724
47006,조재형치과의원,의료,병원,치과의원,압구정동,127.0297029,37.52698116
47031,생명나눔한의원,의료,병원,한의원,논현2동,127.0407396,37.51768236
47171,산하한의원,의료,병원,한의원,청담동,127.048068,37.51873281
47246,예다인외과의원,의료,병원,내과/외과,도곡1동,127.0347356,37.48496118
47267,쉬즈굿여성의원,의료,병원,내과/외과,대치4동,127.0514304,37.50332479
47279,송영명소아과의원,의료,병원,내과/외과,개포1동,127.0586406,37.48395566
47295,연세맑은이비인후과,의료,병원,이비인후과의원,역삼1동,127.0360781,37.50192101
47313,미즈러브여성비뇨기과의원,의료,병원,내과/외과,역삼2동,127.0391581,37.49986467
47317,이지화치과,의료,병원,치과의원,삼성2동,127.053121,37.51275438
47397,강남보성한의원,의료,병원,한의원,역삼1동,127.0482841,37.5052728
47482,행복한이야기한의원,의료,병원,한의원,개포4동,127.0530041,37.48081097
47596,수치과,의료,병원,치과의원,압구정동,127.0393713,37.52559149
47599,청담인한의원,의료,병원,한의원,역삼1동,127.0346303,37.50632436
47639,캘리포니아미형,의료,병원,치과의원,역삼1동,127.0482841,37.5052728
47649,이지치과,의료,병원,치과의원,압구정동,127.0312585,37.52479537
47697,블룸의원,의료,병원,내과/외과,청담동,127.0408992,37.52377477
47920,해성한의원,의료,병원,한의원,신사동,127.0264804,37.51987238
47985,강이비인후과의원,의료,병원,내과/외과,일원본동,127.0835061,37.48572802
48061,삼대국민한의원.의원,의료,병원,한의원,대치2동,127.0594504,37.50683997
48066,사랑이아프니치과의원,의료,병원,치과의원,역삼1동,127.0267963,37.50251169
48199,담의원,의료,병원,일반병원,삼성1동,127.0516578,37.51753625
48255,연세튼튼정형외과,의료,병원,내과/외과,논현2동,127.0315944,37.51456217
48264,경희연한의원,의료,병원,한의원,역삼2동,127.0469391,37.49897258
48330,모힐의원,의료,병원,일반병원,신사동,127.0278788,37.52282133
